name,economy (mpg),displacement (cc),power (hp),weight (lb),0-60 mph (s),year,x,y
Chevrolet Caprice Classic,13,400,150,4464,12,73,12,4464
Chevrolet Caprice Classic,17,305,130,3840,15.4,79,15.4,3840
Chevrolet Caprice Classic,17.5,305,145,3880,12.5,77,12.5,3880
Chevrolet Cavalier 2-Door,34,112,88,2395,18,82,18,2395
Chevrolet Cavalier Wagon,27,112,88,2640,18.6,82,18.6,2640
Chevrolet Cavalier,28,112,88,2605,19.6,82,19.6,2605
Chevrolet Chevelle Concours (Wagon),13,350,165,4142,11.5,70,11.5,4142
Chevrolet Chevelle Concours (Wagon),13,307,130,4098,14,72,14,4098
Chevrolet Chevelle Malibu Classic,16,250,100,3781,17,74,17,3781
Chevrolet Chevelle Malibu Classic,17.5,305,140,4215,13,76,13,4215
Chevrolet Chevelle Malibu,17,250,100,3329,15.5,71,15.5,3329
Chevrolet Chevelle Malibu,18,307,130,3504,12,70,12,3504
Chevrolet Chevette,29,85,52,2035,22.2,76,22.2,2035
Chevrolet Chevette,30,98,68,2155,16.5,78,16.5,2155
Chevrolet Chevette,30.5,98,63,2051,17,77,17,2051
Chevrolet Chevette,32.1,98,70,2120,15.5,80,15.5,2120
Chevrolet Citation,23.5,173,110,2725,12.6,81,12.6,2725
Chevrolet Citation,28,151,90,2678,16.5,80,16.5,2678
Chevrolet Citation,28.8,173,115,2595,11.3,79,11.3,2595
Chevrolet Concours,17.5,250,110,3520,16.4,77,16.4,3520
Chevrolet Impala,11,400,150,4997,14,73,14,4997
Chevrolet Impala,13,350,165,4274,12,72,12,4274
Chevrolet Impala,14,350,165,4209,12,71,12,4209
Chevrolet Impala,14,454,220,4354,9,70,9,4354
Chevrolet Malibu Classic (Wagon),19.2,267,125,3605,15,79,15,3605
Chevrolet Malibu,13,350,145,3988,13,73,13,3988
Chevrolet Malibu,20.5,200,95,3155,18.2,78,18.2,3155
Chevrolet Monte Carlo Landau,15.5,350,170,4165,11.4,77,11.4,4165
Chevrolet Monte Carlo Landau,19.2,305,145,3425,13.2,78,13.2,3425
Chevrolet Monte Carlo S,15,350,145,4082,13,73,13,4082
Chevrolet Monte Carlo,15,400,150,3761,9.5,70,9.5,3761
Chevrolet Monza 2+2,20,262,110,3221,13.5,75,13.5,3221
Chevrolet Nova Custom,16,250,100,3278,18,73,18,3278
Chevrolet Nova,15,250,100,3336,17,74,17,3336
Chevrolet Nova,18,250,105,3459,16,75,16,3459
Chevrolet Nova,22,250,105,3353,14.5,76,14.5,3353
Chevrolet Vega (Wagon),22,140,72,2408,19,71,19,2408
Chevrolet Vega 2300,28,140,90,2264,15.5,71,15.5,2264
Chevrolet Vega,20,140,90,2408,19.5,72,19.5,2408
Chevrolet Vega,21,140,72,2401,19.5,73,19.5,2401
Chevrolet Vega,25,140,75,2542,17,74,17,2542
Chevrolet Woody,24.5,98,60,2164,22.1,76,22.1,2164
Chevy C10,13,350,145,4055,12,76,12,4055
Chevy C20,10,307,200,4376,15,70,15,4376
Chevy S-10,31,119,82,2720,19.4,82,19.4,2720
Chrysler Cordoba,15.5,400,190,4325,12.2,77,12.2,4325
Chrysler Lebaron Medallion,26,156,92,2585,14.5,82,14.5,2585
Chrysler Lebaron Salon,17.6,225,85,3465,16.6,81,16.6,3465
Chrysler Lebaron Town & Country (Wagon),18.5,360,150,3940,13,79,13,3940
Chrysler New Yorker Brougham,13,440,215,4735,11,73,11,4735
Chrysler Newport Royal,13,400,190,4422,12.5,72,12.5,4422
Citroen DS-21 Pallas,30,133,115,3090,17.5,70,17.5,3090
Datsun 1200,35,72,69,1613,18,71,18,1613
Datsun 200SX,23.9,119,97,2405,14.9,78,14.9,2405
Datsun 200SX,32.9,119,100,2615,14.8,81,14.8,2615
Datsun 210,31.8,85,65,2020,19.2,79,19.2,2020
Datsun 210,37,85,65,1975,19.4,81,19.4,1975
Datsun 210,40.8,85,65,2110,19.2,80,19.2,2110
Datsun 280ZX,32.7,168,132,2910,11.4,80,11.4,2910
Datsun 310 GX,38,91,67,1995,16.2,82,16.2,1995
Datsun 310,37.2,86,65,2019,16.4,80,16.4,2019
Datsun 510 (Wagon),28,97,92,2288,17,72,17,2288
Datsun 510 Hatchback,37,119,92,2434,15,80,15,2434
Datsun 510,27.2,119,97,2300,14.7,78,14.7,2300
Datsun 610,22,108,94,2379,16.5,73,16.5,2379
Datsun 710,24,119,97,2545,17,75,17,2545
Datsun 710,32,83,61,2003,19,74,19,2003
Datsun 810 Maxima,24.2,146,120,2930,13.8,81,13.8,2930
Datsun 810,22,146,97,2815,14.5,77,14.5,2815
Datsun B-210,32,85,70,1990,17,76,17,1990
Datsun B210 GX,39.4,85,70,2070,18.6,78,18.6,2070
Datsun B210,31,79,67,1950,19,74,19,1950
Datsun F-10 Hatchback,33.5,85,70,1945,16.8,77,16.8,1945
Datsun PL510,27,97,88,2130,14.5,70,14.5,2130
Datsun PL510,27,97,88,2130,14.5,71,14.5,2130
Dodge Aries SE,29,135,84,2525,16,82,16,2525
Dodge Aries Wagon (Wagon),25.8,156,92,2620,14.4,81,14.4,2620
Dodge Aspen 6,20.6,225,110,3360,16.6,79,16.6,3360
Dodge Aspen SE,20,225,100,3651,17.7,76,17.7,3651
Dodge Aspen,18.6,225,110,3620,18.7,78,18.7,3620
Dodge Aspen,19.1,225,90,3381,18.7,80,18.7,3381
Dodge Challenger SE,15,383,170,3563,10,70,10,3563
Dodge Charger 2.2,36,135,84,2370,13,82,13,2370
Dodge Colt (Wagon),28,98,80,2164,15,72,15,2164
Dodge Colt Hardtop,25,97.5,80,2126,17,72,17,2126
Dodge Colt Hatchback Custom,35.7,98,80,1915,14.4,79,14.4,1915
Dodge Colt M/M,33.5,98,83,2075,15.9,77,15.9,2075
Dodge Colt,26,98,79,2255,17.7,76,17.7,2255
Dodge Colt,27.9,156,105,2800,14.4,80,14.4,2800
Dodge Colt,28,90,75,2125,14.5,74,14.5,2125
Dodge Coronet Brougham,16,318,150,4190,13,76,13,4190
Dodge Coronet Custom (Wagon),14,318,150,4457,13.5,74,13.5,4457
Dodge Coronet Custom,15,318,150,3777,12.5,73,12.5,3777
Dodge D100,13,318,150,3755,14,76,14,3755
Dodge D200,11,318,210,4382,13.5,70,13.5,4382
Dodge Dart Custom,15,318,150,3399,11,73,11,3399
Dodge Diplomat,19.4,318,140,3735,13.2,78,13.2,3735
Dodge Magnum XE,17.5,318,140,4080,13.7,78,13.7,4080
Dodge Monaco (Wagon),12,383,180,4955,11.5,71,11.5,4955
Dodge Monaco Brougham,15.5,318,145,4140,13.7,77,13.7,4140
Dodge Omni,30.9,105,75,2230,14.5,78,14.5,2230
Dodge Rampage,32,135,84,2295,11.6,82,11.6,2295
Dodge St. Regis,18.2,318,135,3830,15.2,79,15.2,3830
Fiat 124 Sport Coupe,26,98,90,2265,15.5,73,15.5,2265
Fiat 124 TC,26,116,75,2246,14,74,14,2246
Fiat 124B,30,88,76,2065,14.5,71,14.5,2065
Fiat 128,24,90,75,2108,15.5,74,15.5,2108
Fiat 128,29,68,49,1867,19.5,73,19.5,1867
Fiat 131,28,107,86,2464,15.5,76,15.5,2464
Fiat Strada Custom,37.3,91,69,2130,14.7,79,14.7,2130
Fiat X1.9,31,79,67,2000,16,74,16,2000
Ford Capri II,25,140,92,2572,14.9,76,14.9,2572
Ford Country Squire (Wagon),13,400,170,4746,12,71,12,4746
Ford Country Squire (Wagon),15.5,351,142,4054,14.3,79,14.3,4054
Ford Country,12,400,167,4906,12.5,73,12.5,4906
Ford Escort 2H,29.9,98,65,2380,20.7,81,20.7,2380
Ford Escort 4W,34.4,98,65,2045,16.2,81,16.2,2045
Ford F108,13,302,130,3870,15,76,15,3870
Ford F250,10,360,215,4615,14,70,14,4615
Ford Fairmont (Auto),20.2,200,85,2965,15.8,78,15.8,2965
Ford Fairmont (Man),25.1,140,88,2720,15.4,78,15.4,2720
Ford Fairmont 4,22.3,140,88,2890,17.3,79,17.3,2890
Ford Fairmont Futura,24,140,92,2865,16.4,82,16.4,2865
Ford Fairmont,26.4,140,88,2870,18.1,80,18.1,2870
Ford Fiesta,36.1,98,66,1800,14.4,78,14.4,1800
Ford Futura,18.1,302,139,3205,11.2,78,11.2,3205
Ford Galaxie 500,14,351,153,4129,13,72,13,4129
Ford Galaxie 500,14,351,153,4154,13.5,71,13.5,4154
Ford Galaxie 500,15,429,198,4341,10,70,10,4341
Ford Gran Torino (Wagon),13,302,140,4294,16,72,16,4294
Ford Gran Torino (Wagon),14,302,140,4638,16,74,16,4638
Ford Gran Torino,14,302,137,4042,14.5,73,14.5,4042
Ford Gran Torino,14.5,351,152,4215,12.8,76,12.8,4215
Ford Gran Torino,16,302,140,4141,14,74,14,4141
Ford Granada Ghia,18,250,78,3574,21,76,21,3574
Ford Granada GL,20.2,200,88,3060,17.1,81,17.1,3060
Ford Granada L,22,232,112,2835,14.7,82,14.7,2835
Ford Granada,18.5,250,98,3525,19,77,19,3525
Ford LTD Landau,17.6,302,129,3725,13.4,79,13.4,3725
Ford LTD,13,351,158,4363,13,73,13,4363
Ford LTD,14,351,148,4657,13.5,75,13.5,4657
Ford Maverick,15,250,72,3158,19.5,75,19.5,3158
Ford Maverick,18,250,88,3021,16.5,73,16.5,3021
Ford Maverick,21,200,85,2875,17,74,17,2875
Ford Maverick,21,200,85,2587,16,70,16,2587
Ford Maverick,24,200,81,3012,17.6,76,17.6,3012
Ford Mustang Boss 302,22,302,140,3353,8,70,8,3353
Ford Mustang Cobra,23.6,140,140,2905,14.3,80,14.3,2905
Ford Mustang GL,27,140,86,2790,15.6,82,15.6,2790
Ford Mustang II 2+2,25.5,140,89,2755,15.8,77,15.8,2755
Ford Mustang II,13,302,129,3169,12,75,12,3169
Ford Mustang,18,250,88,3139,14.5,71,14.5,3139
Ford Pinto (Wagon),22,122,86,2395,16,72,16,2395
Ford Pinto Runabout,21,122,86,2226,16.5,72,16.5,2226
Ford Pinto,18,171,97,2984,14.5,75,14.5,2984
Ford Pinto,19,122,85,2310,18.5,73,18.5,2310
Ford Pinto,23,140,83,2639,17,75,17,2639
Ford Pinto,25,98,72,2046,19,71,19,2046
Ford Pinto,26,122,80,2451,16.5,74,16.5,2451
Ford Pinto,26.5,140,72,2565,13.6,76,13.6,2565
Ford Ranger,28,120,79,2625,18.6,82,18.6,2625
Ford Thunderbird,16,351,149,4335,14.5,77,14.5,4335
Ford Torino (Wagon),19,351,153,4034,11,70,11,4034
Ford Torino 500,19,250,88,3302,15.5,71,15.5,3302
Ford Torino,17,302,140,3449,10.5,70,10.5,3449
Hi 1200D,9,304,193,4732,18.5,70,18.5,4732
Honda Accord CVCC,31.5,98,68,2045,18.5,77,18.5,2045
Honda Accord LX,29.5,98,68,2135,16.6,78,16.6,2135
Honda Accord,32.4,107,72,2290,17,80,17,2290
Honda Accord,36,107,75,2205,14.5,82,14.5,2205
Honda Civic (Auto),32,91,67,1965,15.7,82,15.7,1965
Honda Civic 1300,35.1,81,60,1760,16.1,81,16.1,1760
Honda Civic 1500 GL,44.6,91,67,1850,13.8,80,13.8,1850
Honda Civic CVCC,33,91,53,1795,17.5,75,17.5,1795
Honda Civic CVCC,36.1,91,60,1800,16.4,78,16.4,1800
Honda Civic,24,120,97,2489,15,74,15,2489
Honda Civic,33,91,53,1795,17.4,76,17.4,1795
Honda Civic,38,91,67,1965,15,82,15,1965
Honda Prelude,33.7,107,75,2210,14.4,81,14.4,2210
Maxda GLC Deluxe,34.1,86,65,1975,15.2,79,15.2,1975
Maxda RX-3,18,70,90,2124,13.5,73,13.5,2124
Mazda 626,31.3,120,75,2542,17.5,80,17.5,2542
Mazda 626,31.6,120,74,2635,18.3,81,18.3,2635
Mazda GLC 4,34.1,91,68,1985,16,81,16,1985
Mazda GLC Custom L,37,91,68,2025,18.2,82,18.2,2025
Mazda GLC Custom,31,91,68,1970,17.6,82,17.6,1970
Mazda GLC Deluxe,32.8,78,52,1985,19.4,78,19.4,1985
Mazda GLC,46.6,86,65,2110,17.9,80,17.9,2110
Mazda RX-2 Coupe,19,70,97,2330,13.5,72,13.5,2330
Mazda RX-4,21.5,80,110,2720,13.5,77,13.5,2720
Mazda RX-7 Gs,23.7,70,100,2420,12.5,80,12.5,2420
Mercedes-Benz 240D,30,146,67,3250,21.8,80,21.8,3250
Mercedes-Benz 280S,16.5,168,120,3820,16.7,76,16.7,3820
Mercedes-Benz 300D,25.4,183,77,3530,20.1,79,20.1,3530
Mercury Capri 2000,23,122,86,2220,14,71,14,2220
Mercury Capri V6,21,155,107,2472,14,73,14,2472
Mercury Cougar Brougham,15,302,130,4295,14.9,77,14.9,4295
Mercury Grand Marquis,16.5,351,138,3955,13.2,79,13.2,3955
Mercury Lynx L,36,98,70,2125,17.3,82,17.3,2125
Mercury Marquis Brougham,12,429,198,4952,11.5,73,11.5,4952
Mercury Marquis,11,429,208,4633,11,72,11,4633
Mercury Monarch Ghia,20.2,302,139,3570,12.8,78,12.8,3570
Mercury Monarch,15,250,72,3432,21,75,21,3432
Mercury Zephyr 6,19.8,200,85,2990,18.2,79,18.2,2990
Mercury Zephyr,20.8,200,85,3070,16.7,78,16.7,3070
Nissan Stanza XE,36,120,88,2160,14.5,82,14.5,2160
Oldsmobile Cutlass Ciera (Diesel),38,262,85,3015,17,82,17,3015
Oldsmobile Cutlass LS,26.6,350,105,3725,19,81,19,3725
Oldsmobile Cutlass Salon Brougham,19.9,260,110,3365,15.5,78,15.5,3365
Oldsmobile Cutlass Salon Brougham,23.9,260,90,3420,22.2,79,22.2,3420
Oldsmobile Cutlass Supreme,17,260,110,4060,19,77,19,4060
Oldsmobile Delta 88 Royale,12,350,160,4456,13.5,72,13.5,4456
Oldsmobile Omega Brougham,26.8,173,115,2700,12.9,79,12.9,2700
Oldsmobile Omega,11,350,180,3664,11,73,11,3664
Oldsmobile Starfire SX,23.8,151,85,2855,17.6,78,17.6,2855
Oldsmobile Vista Cruiser,12,350,180,4499,12.5,73,12.5,4499
Opel 1900,25,116,81,2220,16.9,76,16.9,2220
Opel 1900,28,116,90,2123,14,71,14,2123
Opel Manta,24,116,75,2158,15.5,73,15.5,2158
Opel Manta,26,97,78,2300,14.5,74,14.5,2300
Peugeot 304,30,79,70,2074,19.5,71,19.5,2074
Peugeot 504 (Wagon),21,120,87,2979,19.5,72,19.5,2979
Peugeot 504,19,120,88,3270,21.9,76,21.9,3270
Peugeot 504,23,120,88,2957,17,75,17,2957
Peugeot 504,25,110,87,2672,17.5,70,17.5,2672
Peugeot 504,27.2,141,71,3190,24.8,79,24.8,3190
Peugeot 505S Turbo Diesel,28.1,141,80,3230,20.4,81,20.4,3230
Peugeot 604SL,16.2,163,133,3410,15.8,78,15.8,3410
Plymouth Arrow GS,25.5,122,96,2300,15.5,77,15.5,2300
Plymouth Barracuda 340,14,340,160,3609,8,70,8,3609
Plymouth Champ,39,86,64,1875,16.4,81,16.4,1875
Plymouth Cricket,26,91,70,1955,20.5,71,20.5,1955
Plymouth Custom Suburb,13,360,170,4654,13,73,13,4654
Plymouth Duster,20,198,95,3102,16.5,74,16.5,3102
Plymouth Duster,22,198,95,2833,15.5,70,15.5,2833
Plymouth Duster,23,198,95,2904,16,73,16,2904
Plymouth Fury Gran Sedan,14,318,150,4237,14.5,73,14.5,4237
Plymouth Fury III,14,318,150,4096,13,71,13,4096
Plymouth Fury III,14,440,215,4312,8.5,70,8.5,4312
Plymouth Fury III,15,318,150,4135,13.5,72,13.5,4135
Plymouth Fury,18,225,95,3785,19,75,19,3785
Plymouth Grand Fury,16,318,150,4498,14.5,75,14.5,4498
Plymouth Horizon 4,34.7,105,63,2215,14.9,81,14.9,2215
Plymouth Horizon Miser,38,105,63,2125,14.7,82,14.7,2125
Plymouth Horizon TC3,34.5,105,70,2150,14.9,79,14.9,2150
Plymouth Horizon,34.2,105,70,2200,13.2,79,13.2,2200
Plymouth Reliant,27.2,135,84,2490,15.7,81,15.7,2490
Plymouth Reliant,30,135,84,2385,12.9,81,12.9,2385
Plymouth Sapporo,23.2,156,105,2745,16.7,78,16.7,2745
Plymouth Satellite (Wagon),15,383,175,4166,10.5,70,10.5,4166
Plymouth Satellite Custom (Wagon),14,318,150,4077,14,72,14,4077
Plymouth Satellite Custom,16,225,105,3439,15.5,71,15.5,3439
Plymouth Satellite Sebring,18,225,105,3613,16.5,74,16.5,3613
Plymouth Satellite,18,318,150,3436,11,70,11,3436
Plymouth Valiant Custom,19,225,95,3264,16,75,16,3264
Plymouth Valiant,18,225,105,3121,16.5,73,16.5,3121
Plymouth Valiant,22,225,100,3233,15.4,76,15.4,3233
Plymouth Volare Custom,19,225,100,3630,17.7,77,17.7,3630
Plymouth Volare Premier V8,13,318,150,3940,13.2,76,13.2,3940
Plymouth Volare,20.5,225,100,3430,17.2,78,17.2,3430
Pontiac Astro,23,140,78,2592,18.5,75,18.5,2592
Pontiac Catalina Brougham,14,400,175,4464,11.5,71,11.5,4464
Pontiac Catalina,14,400,175,4385,12,72,12,4385
Pontiac Catalina,14,455,225,4425,10,70,10,4425
Pontiac Catalina,16,400,170,4668,11.5,75,11.5,4668
Pontiac Firebird,19,250,100,3282,15,71,15,3282
Pontiac Grand Prix Lj,16,400,180,4220,11.1,77,11.1,4220
Pontiac Grand Prix,16,400,230,4278,9.5,73,9.5,4278
Pontiac J2000 Se Hatchback,31,112,85,2575,16.2,82,16.2,2575
Pontiac Lemans V6,21.5,231,115,3245,15.4,79,15.4,3245
Pontiac Phoenix LJ,19.2,231,105,3535,19.2,78,19.2,3535
Pontiac Phoenix,27,151,90,2735,18,82,18,2735
Pontiac Phoenix,33.5,151,90,2556,13.2,79,13.2,2556
Pontiac Safari (Wagon),13,400,175,5140,12,71,12,5140
Pontiac Sunbird Coupe,24.5,151,88,2740,16,77,16,2740
Pontiac Ventura Sj,18.5,250,110,3645,16.2,76,16.2,3645
Renault 12 (Wagon),26,96,69,2189,18,72,18,2189
Renault 12TL,27,101,83,2202,15.3,76,15.3,2202
Renault 18I,34.5,100,84,2320,15.8,81,15.8,2320
Renault 5 Gtl,36,79,58,1825,18.6,77,18.6,1825
Renault Lecar Deluxe,40.9,85,57,1835,17.3,80,17.3,1835
Saab 900S,22,121,110,2800,15.4,81,15.4,2800
Saab 99E,25,104,95,2375,17.5,70,17.5,2375
Saab 99GLE,21.6,121,115,2795,15.7,78,15.7,2795
Saab 99LE,24,121,110,2660,14,73,14,2660
Saab 99LE,25,121,115,2671,13.5,75,13.5,2671
Subaru DL,30,97,67,1985,16.4,77,16.4,1985
Subaru DL,33.8,97,67,2145,18,80,18,2145
Subaru,26,108,93,2391,15.5,74,15.5,2391
Subaru,32.3,97,67,2065,17.8,81,17.8,2065
Toyota Carina,20,97,88,2279,19,73,19,2279
Toyota Celica GT Liftback,21.1,134,95,2515,14.8,78,14.8,2515
Toyota Celica GT,32,144,96,2665,13.9,82,13.9,2665
Toyota Corolla 1200,31,71,65,1773,19,71,19,1773
Toyota Corolla 1200,32,71,65,1836,21,74,21,1836
Toyota Corolla 1600 (Wagon),27,97,88,2100,16.5,72,16.5,2100
Toyota Corolla Liftback,26,97,75,2265,18.2,77,18.2,2265
Toyota Corolla Tercel,38.1,89,60,1968,18.8,80,18.8,1968
Toyota Corolla,28,97,75,2155,16.4,76,16.4,2155
Toyota Corolla,29,97,75,2171,16,75,16,2171
Toyota Corolla,32.2,108,75,2265,15.2,80,15.2,2265
Toyota Corolla,32.4,108,75,2350,16.8,81,16.8,2350
Toyota Corolla,34,108,70,2245,16.9,82,16.9,2245
Toyota Corona Hardtop,24,113,95,2278,15.5,72,15.5,2278
Toyota Corona Liftback,29.8,134,90,2711,15.5,80,15.5,2711
Toyota Corona Mark II,24,113,95,2372,15,70,15,2372
Toyota Corona,24,134,96,2702,13.5,75,13.5,2702
Toyota Corona,25,113,95,2228,14,71,14,2228
Toyota Corona,27.5,134,95,2560,14.2,78,14.2,2560
Toyota Corona,31,76,52,1649,16.5,74,16.5,1649
Toyota Cressida,25.4,168,116,2900,12.6,81,12.6,2900
Toyota Mark II,19,156,108,2930,15.5,76,15.5,2930
Toyota Mark II,20,156,122,2807,13.5,73,13.5,2807
Toyota Starlet,39.1,79,58,1755,16.9,81,16.9,1755
Toyota Tercel,37.7,89,62,2050,17.3,81,17.3,2050
Toyouta Corona Mark II (Wagon),23,120,97,2506,14.5,72,14.5,2506
Triumph TR7 Coupe,35,122,88,2500,15.1,80,15.1,2500
Vokswagen Rabbit,29.8,89,62,1845,15.3,80,15.3,1845
Volkswagen 1131 Deluxe Sedan,26,97,46,1835,20.5,70,20.5,1835
Volkswagen 411 (Wagon),22,121,76,2511,18,72,18,2511
Volkswagen Dasher (Diesel),43.4,90,48,2335,23.7,80,23.7,2335
Volkswagen Dasher,25,90,71,2223,16.5,75,16.5,2223
Volkswagen Dasher,26,79,67,1963,15.5,74,15.5,1963
Volkswagen Dasher,30.5,97,78,2190,14.1,77,14.1,2190
Volkswagen Jetta,33,105,74,2190,14.2,81,14.2,2190
Volkswagen Model 111,27,97,60,1834,19,71,19,1834
Volkswagen Pickup,44,97,52,2130,24.6,82,24.6,2130
Volkswagen Rabbit C (Diesel),44.3,90,48,2085,21.7,80,21.7,2085
Volkswagen Rabbit Custom Diesel,43.1,90,48,1985,21.5,78,21.5,1985
Volkswagen Rabbit Custom,29,97,78,1940,14.5,77,14.5,1940
Volkswagen Rabbit Custom,31.9,89,71,1925,14,79,14,1925
Volkswagen Rabbit L,36,105,74,1980,15.3,82,15.3,1980
Volkswagen Rabbit,29,90,70,1937,14,75,14,1937
Volkswagen Rabbit,29,90,70,1937,14.2,76,14.2,1937
Volkswagen Rabbit,29.5,97,71,1825,12.2,76,12.2,1825
Volkswagen Rabbit,41.5,98,76,2144,14.7,80,14.7,2144
Volkswagen Scirocco,31.5,89,71,1990,14.9,78,14.9,1990
Volkswagen Super Beetle 117,30,97,48,1978,20,71,20,1978
Volkswagen Super Beetle,26,97,46,1950,21,73,21,1950
Volkswagen Type 3,23,97,54,2254,23.5,72,23.5,2254
Volvo 144EA,19,121,112,2868,15.5,73,15.5,2868
Volvo 145E (Wagon),18,121,112,2933,14.5,72,14.5,2933
Volvo 244DL,22,121,98,2945,14.5,75,14.5,2945
Volvo 245,20,130,102,3150,15.7,76,15.7,3150
Volvo 264GL,17,163,125,3140,13.6,78,13.6,3140
Volvo Diesel,30.7,145,76,3160,19.6,81,19.6,3160
